Tegund launa;Launatafla;Dagsetning;Upphæð;Í gildi
Mánaðarlaun;653-117-0 (Kjölur, BSRB og SÍS);01.04.2023;432.545;Y
Mánaðarlaun;653-117-10 (Kjölur, BSRB og SÍS);01.04.2023;475.800;Y
Mánaðarlaun;653-117-12 (Kjölur, BSRB og SÍS);01.04.2023;484.450;Y
Mánaðarlaun;653-117-14 (Kjölur, BSRB og SÍS);01.04.2023;493.101;Y
Mánaðarlaun;653-117-16 (Kjölur, BSRB og SÍS);01.04.2023;501.752;Y
Mánaðarlaun;653-117-2 (Kjölur, BSRB og SÍS);01.04.2023;441.196;Y
Mánaðarlaun;653-117-4 (Kjölur, BSRB og SÍS);01.04.2023;449.847;Y
Mánaðarlaun;653-117-6 (Kjölur, BSRB og SÍS);01.04.2023;458.498;Y
Mánaðarlaun;653-117-8 (Kjölur, BSRB og SÍS);01.04.2023;467.149;Y
Mánaðarlaun;653-118-0 (Kjölur, BSRB og SÍS);01.04.2023;436.101;Y
Mánaðarlaun;653-118-10 (Kjölur, BSRB og SÍS);01.04.2023;479.711;Y
Mánaðarlaun;653-118-12 (Kjölur, BSRB og SÍS);01.04.2023;488.433;Y
Mánaðarlaun;653-118-14 (Kjölur, BSRB og SÍS);01.04.2023;497.155;Y
Mánaðarlaun;653-118-16 (Kjölur, BSRB og SÍS);01.04.2023;505.877;Y
Mánaðarlaun;653-118-2 (Kjölur, BSRB og SÍS);01.04.2023;444.823;Y
Mánaðarlaun;653-118-4 (Kjölur, BSRB og SÍS);01.04.2023;453.545;Y
Mánaðarlaun;653-118-6 (Kjölur, BSRB og SÍS);01.04.2023;462.267;Y
Mánaðarlaun;653-118-8 (Kjölur, BSRB og SÍS);01.04.2023;470.989;Y
Mánaðarlaun;653-119-0 (Kjölur, BSRB og SÍS);01.04.2023;439.695;Y
Mánaðarlaun;653-119-10 (Kjölur, BSRB og SÍS);01.04.2023;483.665;Y
Mánaðarlaun;653-119-12 (Kjölur, BSRB og SÍS);01.04.2023;492.458;Y
Mánaðarlaun;653-119-14 (Kjölur, BSRB og SÍS);01.04.2023;501.252;Y
Mánaðarlaun;653-119-16 (Kjölur, BSRB og SÍS);01.04.2023;510.046;Y
Mánaðarlaun;653-119-2 (Kjölur, BSRB og SÍS);01.04.2023;448.489;Y
Mánaðarlaun;653-119-4 (Kjölur, BSRB og SÍS);01.04.2023;457.283;Y
Mánaðarlaun;653-119-6 (Kjölur, BSRB og SÍS);01.04.2023;466.077;Y
Mánaðarlaun;653-119-8 (Kjölur, BSRB og SÍS);01.04.2023;474.871;Y
Mánaðarlaun;653-120-0 (Kjölur, BSRB og SÍS);01.04.2023;443.329;Y
Mánaðarlaun;653-120-10 (Kjölur, BSRB og SÍS);01.04.2023;487.662;Y
Mánaðarlaun;653-120-12 (Kjölur, BSRB og SÍS);01.04.2023;496.528;Y
Mánaðarlaun;653-120-14 (Kjölur, BSRB og SÍS);01.04.2023;505.395;Y
Mánaðarlaun;653-120-16 (Kjölur, BSRB og SÍS);01.04.2023;514.262;Y
Mánaðarlaun;653-120-2 (Kjölur, BSRB og SÍS);01.04.2023;452.196;Y
Mánaðarlaun;653-120-4 (Kjölur, BSRB og SÍS);01.04.2023;461.062;Y
Mánaðarlaun;653-120-6 (Kjölur, BSRB og SÍS);01.04.2023;469.929;Y
Mánaðarlaun;653-120-8 (Kjölur, BSRB og SÍS);01.04.2023;478.795;Y
Mánaðarlaun;653-121-0 (Kjölur, BSRB og SÍS);01.04.2023;447.002;Y
Mánaðarlaun;653-121-10 (Kjölur, BSRB og SÍS);01.04.2023;491.702;Y
Mánaðarlaun;653-121-12 (Kjölur, BSRB og SÍS);01.04.2023;500.642;Y
Mánaðarlaun;653-121-14 (Kjölur, BSRB og SÍS);01.04.2023;509.582;Y
Mánaðarlaun;653-121-16 (Kjölur, BSRB og SÍS);01.04.2023;518.522;Y
Mánaðarlaun;653-121-2 (Kjölur, BSRB og SÍS);01.04.2023;455.942;Y
Mánaðarlaun;653-121-4 (Kjölur, BSRB og SÍS);01.04.2023;464.882;Y
Mánaðarlaun;653-121-6 (Kjölur, BSRB og SÍS);01.04.2023;473.822;Y
Mánaðarlaun;653-121-8 (Kjölur, BSRB og SÍS);01.04.2023;482.762;Y
Mánaðarlaun;653-122-0 (Kjölur, BSRB og SÍS);01.04.2023;450.716;Y
Mánaðarlaun;653-122-10 (Kjölur, BSRB og SÍS);01.04.2023;495.788;Y
Mánaðarlaun;653-122-12 (Kjölur, BSRB og SÍS);01.04.2023;504.802;Y
Mánaðarlaun;653-122-14 (Kjölur, BSRB og SÍS);01.04.2023;513.816;Y
Mánaðarlaun;653-122-16 (Kjölur, BSRB og SÍS);01.04.2023;522.831;Y
Mánaðarlaun;653-122-2 (Kjölur, BSRB og SÍS);01.04.2023;459.730;Y
Mánaðarlaun;653-122-4 (Kjölur, BSRB og SÍS);01.04.2023;468.745;Y
Mánaðarlaun;653-122-6 (Kjölur, BSRB og SÍS);01.04.2023;477.759;Y
Mánaðarlaun;653-122-8 (Kjölur, BSRB og SÍS);01.04.2023;486.773;Y
Mánaðarlaun;653-123-0 (Kjölur, BSRB og SÍS);01.04.2023;454.471;Y
Mánaðarlaun;653-123-10 (Kjölur, BSRB og SÍS);01.04.2023;499.918;Y
Mánaðarlaun;653-123-12 (Kjölur, BSRB og SÍS);01.04.2023;509.008;Y
Mánaðarlaun;653-123-14 (Kjölur, BSRB og SÍS);01.04.2023;518.097;Y
Mánaðarlaun;653-123-16 (Kjölur, BSRB og SÍS);01.04.2023;527.186;Y
Mánaðarlaun;653-123-2 (Kjölur, BSRB og SÍS);01.04.2023;463.560;Y
Mánaðarlaun;653-123-4 (Kjölur, BSRB og SÍS);01.04.2023;472.650;Y
Mánaðarlaun;653-123-6 (Kjölur, BSRB og SÍS);01.04.2023;481.739;Y
Mánaðarlaun;653-123-8 (Kjölur, BSRB og SÍS);01.04.2023;490.829;Y
Mánaðarlaun;653-124-0 (Kjölur, BSRB og SÍS);01.04.2023;458.270;Y
Mánaðarlaun;653-124-10 (Kjölur, BSRB og SÍS);01.04.2023;504.097;Y
Mánaðarlaun;653-124-12 (Kjölur, BSRB og SÍS);01.04.2023;513.262;Y
Mánaðarlaun;653-124-14 (Kjölur, BSRB og SÍS);01.04.2023;522.428;Y
Mánaðarlaun;653-124-16 (Kjölur, BSRB og SÍS);01.04.2023;531.593;Y
Mánaðarlaun;653-124-2 (Kjölur, BSRB og SÍS);01.04.2023;467.435;Y
Mánaðarlaun;653-124-4 (Kjölur, BSRB og SÍS);01.04.2023;476.601;Y
Mánaðarlaun;653-124-6 (Kjölur, BSRB og SÍS);01.04.2023;485.766;Y
Mánaðarlaun;653-124-8 (Kjölur, BSRB og SÍS);01.04.2023;494.932;Y
Mánaðarlaun;653-125-0 (Kjölur, BSRB og SÍS);01.04.2023;462.107;Y
Mánaðarlaun;653-125-10 (Kjölur, BSRB og SÍS);01.04.2023;508.318;Y
Mánaðarlaun;653-125-12 (Kjölur, BSRB og SÍS);01.04.2023;517.560;Y
Mánaðarlaun;653-125-14 (Kjölur, BSRB og SÍS);01.04.2023;526.802;Y
Mánaðarlaun;653-125-16 (Kjölur, BSRB og SÍS);01.04.2023;536.044;Y
Mánaðarlaun;653-125-2 (Kjölur, BSRB og SÍS);01.04.2023;471.349;Y
Mánaðarlaun;653-125-4 (Kjölur, BSRB og SÍS);01.04.2023;480.591;Y
Mánaðarlaun;653-125-6 (Kjölur, BSRB og SÍS);01.04.2023;489.833;Y
Mánaðarlaun;653-125-8 (Kjölur, BSRB og SÍS);01.04.2023;499.076;Y
Mánaðarlaun;653-126-0 (Kjölur, BSRB og SÍS);01.04.2023;465.987;Y
Mánaðarlaun;653-126-10 (Kjölur, BSRB og SÍS);01.04.2023;512.586;Y
Mánaðarlaun;653-126-12 (Kjölur, BSRB og SÍS);01.04.2023;521.905;Y
Mánaðarlaun;653-126-14 (Kjölur, BSRB og SÍS);01.04.2023;531.225;Y
Mánaðarlaun;653-126-16 (Kjölur, BSRB og SÍS);01.04.2023;540.545;Y
Mánaðarlaun;653-126-2 (Kjölur, BSRB og SÍS);01.04.2023;475.307;Y
Mánaðarlaun;653-126-4 (Kjölur, BSRB og SÍS);01.04.2023;484.626;Y
Mánaðarlaun;653-126-6 (Kjölur, BSRB og SÍS);01.04.2023;493.946;Y
Mánaðarlaun;653-126-8 (Kjölur, BSRB og SÍS);01.04.2023;503.266;Y
Mánaðarlaun;653-127-0 (Kjölur, BSRB og SÍS);01.04.2023;469.909;Y
Mánaðarlaun;653-127-10 (Kjölur, BSRB og SÍS);01.04.2023;516.900;Y
Mánaðarlaun;653-127-12 (Kjölur, BSRB og SÍS);01.04.2023;526.298;Y
Mánaðarlaun;653-127-14 (Kjölur, BSRB og SÍS);01.04.2023;535.696;Y
Mánaðarlaun;653-127-16 (Kjölur, BSRB og SÍS);01.04.2023;545.094;Y
Mánaðarlaun;653-127-2 (Kjölur, BSRB og SÍS);01.04.2023;479.307;Y
Mánaðarlaun;653-127-4 (Kjölur, BSRB og SÍS);01.04.2023;488.705;Y
Mánaðarlaun;653-127-6 (Kjölur, BSRB og SÍS);01.04.2023;498.104;Y
Mánaðarlaun;653-127-8 (Kjölur, BSRB og SÍS);01.04.2023;507.502;Y
